0,1
34,Camera operators and videographers
34,Lighting designers
34,Photographers
34,Sound designers
34,Sound engineers
34,Theatre technicians (excludes hospitals)
34,"Photographers, audio-visual and broadcasting equipment operators n.e.c."
34,Interior designers
34,Clothing and fashion consultants
34,Clothing and fashion designers
34,Footwear designers
34,Jewellery designers
34,Textile designers
34,"Clothing, fashion and accessories designers n.e.c."
34,Industrial and product designers
34,Packaging designers
34,Performance make-up artists
34,Set designers
34,Visual merchandising managers and designers
34,Design occupations n.e.c.
34,Sports players
34,Basketball coaches
34,Cricket coaches
34,Football coaches
34,Forest school practitioners
34,Golf coaches
34,Gymnastics coaches
34,Horse riding instructors
34,Martial arts instructors
34,Outdoor pursuits instructors
34,"Referees, umpires and other sports officials"
34,Rugby coaches
34,Sailing instructors
34,Ski instructors
34,Sports development officers
34,Swimming coaches
34,Tennis coaches
34,"Sports coaches, instructors and officials n.e.c."
34,Group fitness instructors and personal trainers
34,Pilates teachers
34,Yoga teachers
34,Fitness and wellbeing instructors n.e.c.
35,Airline pilots
35,Air traffic controllers
35,Flying instructors
35,Helicopter pilots
35,Aircraft pilots and air traffic controllers n.e.c.
35,Ship and hovercraft captains and deck officers (excludes armed forces and fishing)
35,Marine engineers
35,Ship and hovercraft officers n.e.c.
35,Conveyancing professionals
35,Cost lawyers
35,Barrister's and judge's clerks
35,Litigation officers
35,Probate managers
35,Will writers
35,Legal associate professionals n.e.c.
35,Commodity brokers and traders
35,Insurance and mortgage brokers
35,Shipbrokers
35,Stockbrokers
35,Brokers n.e.c.
35,Insurance underwriters
35,Accounting technicians
35,Financial control technicians
35,Financial and accounting technicians n.e.c.
35,Claims managers
35,Credit managers
35,Investment managers
35,Relationship managers
35,Financial accounts managers n.e.c.
35,Energy advisers and assessors
35,Estimators
35,Loss adjusters
35,Valuers
35,Vehicle damage assessors
35,"Estimators, valuers and assessors n.e.c."
35,Importers and exporters
35,Project support officers
35,Data analysts
35,Business support officers
35,Business systems analysts
35,Contract administrators
35,Clinical coders
35,Clinical trials administrators
35,Research coordinators
35,Business associate professionals n.e.c.
35,Buyers and procurement officers
35,Business sales executives
35,Merchandisers
35,Advertising and marketing executives
35,Fundraisers
35,Market researchers (excludes interviewers)
35,Advertising and marketing associate professionals n.e.c.
35,Estate agents
35,Land and property auctioneers and valuers
35,Letting agents
35,Estate agents and auctioneers n.e.c
35,Brand managers
35,Business development managers
35,Sales account managers
35,Sales accounts and business development managers n.e.c.
35,Conference managers and organisers
35,Exhibition managers and organisers
35,Festival managers and organisers
35,Hospitality managers
35,Wedding planners and organisers
35,Event managers and organisers n.e.c.
35,Electoral services officers
35,Health service administrators
35,Job Centre officers
35,Waste management officers
35,Public services associate professionals n.e.c.
35,Equality and diversity officers
35,Human resources advisers
35,Recruitment consultants
35,Human resources and industrial relations officers n.e.c.
35,Careers advisers and coaches
35,Work placement officers
35,Careers advisers and vocational guidance specialists n.e.c.
35,Information technology trainers
35,Business coaches
35,Retail and store trainers
35,Training assessors
35,Other vocational and industrial trainers n.e.c.
35,Animal health inspectors and officers
35,Building control officers
35,Driving examiners
35,Health and safety inspectors
35,Housing and planning inspectors
35,Licensing officers
35,Meat hygiene inspectors
35,Nuclear safety inspectors
35,Trading standards officers
35,Traffic and vehicle examiners and inspectors
35,Inspectors of standards and regulations n.e.c.
35,Asbestos safety officers
35,Fire safety managers and officers
35,Occupational health and safety managers and officers
35,Road traffic and transport safety officers
35,Occupational hygienists
35,Health and safety managers and officers n.e.c.
41,National government benefits officers
41,National government revenue officers
41,Passport officers
41,National government administrative occupations n.e.c.
41,Local government benefits officers
41,Local government housing assistants
41,Local government revenue officers
41,Parish clerks
41,Local government administrative occupations n.e.c.
41,Charity administrators
41,Clerks to governors
41,Union officials
41,Officers of non-governmental organisations n.e.c.
41,Credit controllers
41,Accounting clerks and bookkeepers
41,Payroll officers and wages clerks
41,"Bookkeepers, payroll managers and wage clerks n.e.c."
41,Bank and building society clerks
41,Post office clerks
41,Bank and post office clerks n.e.c.
41,Finance officers
41,Box office assistants
41,Grants officers
41,Mortgage administrators
41,Revenue assistants (excludes National and Local government revenue occupations)
41,Treasury assistants
41,Finance administrative occupations n.e.c.
41,Admissions officers
41,Court officers
41,Enumerators
41,Examinations officers
41,Indexers (excludes bookbinding)
41,Medical administrators and appointment clerks
41,Purchasing administrators
41,Records clerks and assistants n.e.c.
41,Claims handlers
41,Insurance administrators
41,Pensions administrators
41,Pensions and insurance clerks and assistants n.e.c.
41,Stock control clerks and assistants
41,Transport and distribution clerks and assistants
41,Library clerks and assistants
41,Recruitment administrators
41,Training administrators
41,Human resources administrative occupations n.e.c.
41,Office managers
41,Office supervisors
41,Call centre managers
41,Customer service managers n.e.c.
41,Sales administrators
41,Data entry administrators
41,Business administrators
41,Church administrators
41,Facilities coordinators
41,Proofreaders
41,Property administrators
41,Warranty administrators
41,Other administrative occupations n.e.c.
42,Medical secretaries
42,Legal secretaries
42,School secretaries
42,Company secretaries and administrators
42,Farm secretaries
42,Personal assistants (excludes care workers)
42,Personal assistants and other secretaries n.e.c.
42,Receptionists
42,Stenographers
42,Transcribers
42,Typists
42,Typists and related keyboard occupations n.e.c.
51,Agricultural contractors
51,Aquaculture farmers
51,Arable farmers
51,Dairy farmers
51,Livestock farmers
51,Poultry farmers
51,Farmers n.e.c.
51,Horticultural trades
51,Garden designers
51,Gardeners (excludes horticultural/market gardening)
51,Green roof installers
51,Landscape gardeners
51,Gardeners and landscape gardeners n.e.c.
51,Groundsmen and greenkeepers
51,Arborists
51,Beekeepers
51,Countryside and park officers and rangers
51,Falconers
51,Fish and river keepers
51,Fishers
51,Gamekeepers
51,Agricultural and fishing trades n.e.c.
52,Metal fabricators and finishers
52,Panel beaters (excludes vehicles)
52,Whitesmiths
52,Sheet metal workers n.e.c.
52,Die casters
52,Farriers
52,"Moulders, mould makers and core makers"
52,Smiths
52,"Metal plate workers, smiths, moulders and related occupations n.e.c."
52,Braziers and solderers
52,Pipe welders
52,Plate welders
52,Welding trades n.e.c.
52,Pipe fitters
52,Computer numerical control (CNC) machine setters and setter-operators
52,Metal machining setters and setter-operators n.e.c.
52,Tool fitters
52,Tool makers
52,"Tool makers, tool fitters and markers-out n.e.c."
52,Automation maintenance technicians
52,Bicycle mechanics
52,Catering equipment technicians
52,Door fitters and makers
52,Gunsmiths
52,Heavy plant maintenance technicians
52,Hydraulic technicians
52,Lift technicians
52,Locksmiths
52,Pump technicians
52,Textile machine technicians
52,Turbine fitters
52,Metal working production and maintenance fitters n.e.c.
52,Calibration and precision instrument technicians
52,Camera and photographic equipment technicians
52,"Horologists, watch makers and repairers"
52,Optical technicians
52,Precision instrument makers and repairers n.e.c.
52,Air-conditioning and refrigeration installers and repairers
52,Auto electricians
52,Car/light vehicle technicians
52,Heavy and large vehicle technicians
52,Motorcycle technicians
52,Motorsport technicians
52,MOT testers
52,Roadside assistance technicians
52,"Vehicle technicians, mechanics and electricians n.e.c."
52,Vehicle body builders and repairers
52,Vehicle paint technicians
52,Aircraft maintenance and related trades
